dci_a,dci_b,severity,description
ANESTHÉSIQUES VOLATILS HALOGÉNÉS,ADRÉNALINE,PRECAUTION_EMPLOI,"Troubles du rythme ventriculaire graves par augmentation de l'excitabilité cardiaque. Limiter l'apport, par exemple : moins de 0,1 mg d'adrénaline en 10 minutes ou 0,3 mg en 1 heure chez l'adulte."
ANESTHÉSIQUES VOLATILS HALOGÉNÉS,BÊTA-BLOQUANTS,PRECAUTION_EMPLOI,"Réduction des réactions cardiovasculaires de compensation par les bêta-bloquants. L'inhibition bêta-adrénergique peut être levée En règle générale, ne pas arrêter le traitement bêta-bloquant et, de durant l'intervention par les bêta-mimétiques. toute façon, éviter l'arrêt brutal. Informer l'anesthésiste de ce traitement."
ANESTHÉSIQUES VOLATILS HALOGÉNÉS,BÊTA-BLOQUANTS DANS L'INSUFFISANCE CARDIAQUE,PRECAUTION_EMPLOI,"Réduction des réactions cardiovasculaires de compensation par les bêta-bloquants. L'inhibition bêta-adrénergique peut être levée En règle générale, ne pas arrêter le traitement bêta-bloquant et, de durant l'intervention par les bêta-stimulants. toute façon, éviter l'arrêt brutal. Informer l'anesthésiste de ce traitement."
ANESTHÉSIQUES VOLATILS HALOGÉNÉS,ISONIAZIDE,PRECAUTION_EMPLOI,"Potentialisation de l'effet hépatotoxique de l'isonazide, avec formation accrue de métabolites toxiques de l'isoniazide. En cas d'intervention programmée, arrêter, par prudence, le traitement par l'isoniazide une semaine avant l'intervention et ne le reprendre que 15 jours après."
ANESTHÉSIQUES VOLATILS HALOGÉNÉS,ISOPRENALINE,DECONSEILLEE,Troubles du rythme ventriculaire graves par augmentation de l'excitabilité cardiaque.
ANESTHÉSIQUES VOLATILS HALOGÉNÉS,SYMPATHOMIMÉTIQUES ALPHA ET BÊTA,A_PRENDRE_EN_COMPTE,Décrit avec l'halothane et le cyclopropane. Troubles du rythme ventriculaire graves par augmentation de l'excitabilité cardiaque.
ANESTHÉSIQUES VOLATILS HALOGÉNÉS,SYMPATHOMIMÉTIQUES INDIRECTS,PRECAUTION_EMPLOI,"Poussée hypertensive peropératoire. En cas d'intervention programmée, il est préférable d'interrompre le traitement quelques jours avant l'intervention."
ANTABUSE,ALCOOL,DECONSEILLEE,"Effet antabuse (chaleur, rougeurs, vomissements, tachycardie). Eviter la prise de boissons alcoolisées et de médicaments contenant de l'alcool. Tenir compte de l’élimination complète des médicaments en se référant à leur demi-vie avant la reprise de boissons alcoolisées ou du médicament contenant de l’alcool."
ANTIAGRÉGANTS PLAQUETTAIRES,ANAGRELIDE,DECONSEILLEE,Majoration des événements hémorragiques.
ANTIAGRÉGANTS PLAQUETTAIRES,ANTI-INFLAMMATOIRES NON STÉROÏDIENS,A_PRENDRE_EN_COMPTE,"Augmentation du risque hémorragique, notamment gastro-intestinal."
ANTIAGRÉGANTS PLAQUETTAIRES,COBIMÉTINIB,PRECAUTION_EMPLOI,Augmentation du risque hémorragique. Surveillance clinique.
ANTIAGRÉGANTS PLAQUETTAIRES,DÉFIBROTIDE,DECONSEILLEE,Risque hémorragique accru.
ANTIAGRÉGANTS PLAQUETTAIRES,HÉPARINES,A_PRENDRE_EN_COMPTE,Augmentation du risque hémorragique.
ANTIAGRÉGANTS PLAQUETTAIRES,IBRUTINIB,PRECAUTION_EMPLOI,Augmentation du risque hémorragique. Surveillance clinique.
ANTIAGRÉGANTS PLAQUETTAIRES,THROMBOLYTIQUES,A_PRENDRE_EN_COMPTE,Augmentation du risque hémorragique.
ANTIARYTHMIQUES CLASSE IA,ESMOLOL,PRECAUTION_EMPLOI,"Troubles de la contractilité, de l'automatisme et de la conduction (suppression des mécanismes sympathiques compensateurs). Surveillance clinique et ECG."
ANTIARYTHMIQUES CLASSE IA,RIFAMPICINE,PRECAUTION_EMPLOI,"Diminution des concentrations plasmatiques et de l'efficacité de l'antiarythmique (augmentation de son métabolisme hépatique). Surveillance clinique, ECG et éventuellement de la concentration plasmatique de l'antiarythmique. Si besoin, adaptation de la posologie de l'antiarythmique pendant le traitement par la rifampicine et après son arrêt (risque de surdosage en antiarythmique)."
ANTICHOLINESTÉRASIQUES,BÊTA-BLOQUANTS DANS L'INSUFFISANCE CARDIAQUE,PRECAUTION_EMPLOI,"Risque de bradycardie excessive (addition des effets bradycardisants). Surveillance clinique régulière, notamment en début d'association."
ANTICHOLINESTÉRASIQUES,PILOCARPINE,A_PRENDRE_EN_COMPTE,"Risque d'addition des effets indésirables cholinergiques, notamment digestifs."
ANTICHOLINESTÉRASIQUES,SUXAMETHONIUM,A_PRENDRE_EN_COMPTE,"Risque d'allongement du bloc moteur, majoré en cas de déficit partiel en pseudocholinestérase."
ANTICONVULSIVANTS MÉTABOLISÉS,MILLEPERTUIS,CONTRE_INDICATION,Risque de diminution des concentrations plasmatiques et de l'efficacité de l'anticonvulsivant.
ANTIHYPERTENSEURS ALPHA-BLOQUANTS,ALPHABLOQUANTS À VISÉE UROLOGIQUE,DECONSEILLEE,Majoration de l'effet hypotenseur. Risque d'hypotension orthostatique sévère.
ANTIHYPERTENSEURS ALPHA-BLOQUANTS,ANTIHYPERTENSEURS SAUF ALPHA-BLOQUANTS,A_PRENDRE_EN_COMPTE,Majoration de l'effet hypotenseur. Risque majoré d'hypotension orthostatique.
ANTIHYPERTENSEURS CENTRAUX,BÊTA-BLOQUANTS,PRECAUTION_EMPLOI,Augmentation importante de la pression artérielle en cas d'arrêt brutal du traitement par l'antihypertenseur central. Eviter l'arrêt brutal du traitement par l'antihypertenseur central. Surveillance clinique.
ANTIHYPERTENSEURS CENTRAUX,BÊTA-BLOQUANTS DANS L'INSUFFISANCE CARDIAQUE,DECONSEILLEE,"Diminution centrale du tonus sympathique et effet vasodilatateur des antihypertenseurs centraux, préjudiciables en cas d'insuffisance cardiaque traitée par bêta-bloquant et vasodilatateur."
ANTIHYPERTENSEURS CENTRAUX,DILTIAZEM,A_PRENDRE_EN_COMPTE,Troubles de l'automatisme (troubles de la conduction auriculo- ventriculaire par addition des effets négatifs sur la conduction).
ANTIHYPERTENSEURS CENTRAUX,VERAPAMIL,A_PRENDRE_EN_COMPTE,Troubles de l'automatisme (troubles de la conduction auriculo- ventriculaire par addition des effets négatifs sur la conduction).
ANTIHYPERTENSEURS CENTRAUX,YOHIMBINE,DECONSEILLEE,Inhibition possible de l'activité antihypertensive par antagonisme au niveau des récepteurs.
ANTIHYPERTENSEURS SAUF ALPHA-BLOQUANTS,ALPHABLOQUANTS À VISÉE UROLOGIQUE,A_PRENDRE_EN_COMPTE,Majoration de l'effet hypotenseur. Risque d'hypotension orthostatique majoré.
ANTIHYPERTENSEURS SAUF ALPHA-BLOQUANTS,ANTIHYPERTENSEURS ALPHA-BLOQUANTS,A_PRENDRE_EN_COMPTE,Majoration de l'effet hypotenseur. Risque majoré d'hypotension orthostatique.
ANTI-INFLAMMATOIRES NON STÉROÏDIENS,ACIDE ACETYLSALICYLIQUE,DECONSEILLEE,Majoration du risque ulcérogène et hémorragique digestif. Association déconseillée avec : - des doses anti-inflammatoires d'acide acétylsalicylique (>=1g par prise et/ou >=3g par jour) - des doses antalgiques ou antipyrétiques (>=500 mg par prise et/ou <3g par jour) A prendre en compte avec : - des doses antiagrégantes (de 50 mg à 375 mg par jour en 1 ou plusieurs prises)
ANTI-INFLAMMATOIRES NON STÉROÏDIENS,ANTIAGRÉGANTS PLAQUETTAIRES,A_PRENDRE_EN_COMPTE,"Augmentation du risque hémorragique, notamment gastro-intestinal."
ANTI-INFLAMMATOIRES NON STÉROÏDIENS,BÊTA-BLOQUANTS,A_PRENDRE_EN_COMPTE,Réduction de l'effet antihypertenseur (inhibition des prostaglandines vasodilatatrices par les anti-inflammatoires non stéroïdiens).
ANTI-INFLAMMATOIRES NON STÉROÏDIENS,CICLOSPORINE,PRECAUTION_EMPLOI,"Risque d’addition des effets néphrotoxiques, notamment chez le sujet âgé. Surveiller la fonction rénale en début de traitement par l’AINS."
ANTI-INFLAMMATOIRES NON STÉROÏDIENS,COBIMÉTINIB,PRECAUTION_EMPLOI,Augmentation du risque hémorragique. Surveillance clinique.
ANTI-INFLAMMATOIRES NON STÉROÏDIENS,DEFERASIROX,A_PRENDRE_EN_COMPTE,Majoration du risque ulcérogène et hémorragique digestif.
ANTI-INFLAMMATOIRES NON STÉROÏDIENS,DIURÉTIQUES,PRECAUTION_EMPLOI,"Insuffisance rénale aiguë chez le patient à risque (âgé, déshydraté, sous diurétiques, avec une fonction rénale altérée), par diminution Hydrater le malade et surveiller la fonction rénale en début de traitement de la filtration glomérulaire secondaire à une diminution de la et régulièrement pendant l'association. synthèse des prostaglandines rénales. Ces effets sont généralement réversibles. Par ailleurs, réduction de l’effet antihypertenseur."
ANTI-INFLAMMATOIRES NON STÉROÏDIENS,GLUCOCORTICOÏDES,A_PRENDRE_EN_COMPTE,Augmentation du risque d’ulcération et d’hémorragie gastro- intestinale.
ANTI-INFLAMMATOIRES NON STÉROÏDIENS,HÉPARINES,DECONSEILLEE,"Augmentation du risque hémorragique (agression de la muqueuse gastroduodénale par les anti-inflammatoires non stéroïdiens). Si l'association ne peut être évitée, surveillance clinique étroite."
